,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
6767,608,2,1,48,7,75801.74,1,1,0,125762.95
5304,531,2,0,42,6,75302.85,2,0,0,57034.35
1568,676,0,1,40,8,114005.78,1,1,1,67998.45
3205,850,0,0,42,8,0.0,1,1,0,19632.64
7326,600,0,1,49,7,90218.9,1,1,0,91347.76
8542,688,1,0,40,8,150679.71,2,0,1,196226.38
5853,596,1,1,40,5,62389.03,3,1,0,148623.43
9337,466,1,0,47,5,102085.72,1,1,1,183536.24
6822,669,1,1,47,0,63723.78,2,1,1,181928.25
8677,609,1,0,40,10,137389.77,2,1,0,170122.22
8890,599,1,0,49,10,143888.22,2,1,1,166236.38
2129,702,0,1,34,4,100054.77,1,1,0,109496.45
1689,595,2,1,35,8,0.0,1,1,0,100015.79
38,850,0,1,36,7,0.0,1,1,1,40812.9
7308,663,2,0,53,6,150200.23,1,0,1,151317.27
6574,785,1,0,38,9,107199.75,1,0,0,146398.51
3188,801,0,0,32,4,75170.54,1,1,1,37898.5
2524,782,2,1,52,4,0.0,1,1,1,52759.82
5838,669,2,1,51,3,88827.53,1,0,0,85250.77
3382,655,1,0,72,5,138089.97,2,1,1,99920.41
459,637,2,1,37,8,0.0,1,1,1,186062.36
803,511,2,0,29,9,0.0,2,0,1,140676.98
1907,620,0,0,67,3,0.0,2,1,1,43486.73
3431,468,0,1,36,3,61636.97,1,0,0,107787.42
978,652,0,0,48,8,133297.24,1,1,0,77764.37
9047,652,1,1,41,9,159434.03,1,1,0,178373.93
6464,564,1,0,33,2,115761.51,1,0,1,112350.21
6825,529,2,0,44,1,0.0,2,0,0,14161.3
3902,591,2,0,40,1,86376.29,1,0,1,136767.16
6310,685,2,1,43,4,97392.18,2,1,0,43956.83
9770,520,0,1,49,5,121197.64,1,1,0,72577.33
9099,738,0,1,29,2,0.0,2,1,1,170421.13
266,498,0,1,34,2,0.0,2,1,1,148528.24
2502,527,0,1,32,0,0.0,1,1,0,109523.88
8705,742,0,0,35,2,79126.17,1,1,1,126997.53
1329,743,0,0,40,6,0.0,1,1,0,28280.8
908,685,2,1,31,10,135213.71,1,1,1,125777.28
3180,678,0,0,60,10,117738.81,1,1,0,147489.76
6749,684,2,0,24,9,79263.9,1,0,1,196574.48
8809,593,1,0,38,5,142658.04,2,0,1,135337.11
8377,802,2,1,40,4,0.0,2,1,1,81908.09
7301,767,1,0,33,1,144753.21,1,1,1,132480.75
5611,625,1,1,42,6,100047.33,1,1,0,93429.95
5391,639,2,0,27,8,133806.54,2,1,0,6251.3
6412,602,1,0,53,5,98268.84,1,0,1,45038.29
2035,583,0,0,44,8,0.0,2,1,1,27431.62
8205,477,1,0,39,4,182491.57,1,1,0,185830.72
762,663,1,0,36,6,77253.5,1,0,0,35817.97
3800,850,0,0,28,2,0.0,2,1,1,38773.74
4211,792,2,1,47,0,0.0,1,1,1,5557.88
921,609,2,1,61,1,0.0,1,1,0,22447.85
809,657,0,0,37,6,95845.6,1,1,0,122218.23
5769,570,0,0,29,0,0.0,1,1,0,37092.43
8924,516,0,1,46,2,0.0,2,1,1,169122.54
8060,730,2,0,39,6,140094.59,1,1,0,172450.04
1404,662,2,0,41,4,90350.77,1,1,0,75884.65
145,485,2,0,21,5,113157.22,1,1,1,54141.5
1032,830,2,1,40,4,0.0,2,0,1,81622.52
2946,592,0,1,42,1,147249.29,2,1,1,63023.02
5122,655,0,1,27,2,131691.33,1,1,0,49480.66
3914,658,0,1,44,2,168396.34,1,1,1,14178.73
1284,583,0,1,59,7,127450.14,1,0,1,67552.71
2516,814,0,0,36,6,0.0,2,1,1,98657.01
8825,611,1,0,49,9,115488.52,2,1,1,138656.81
4843,654,0,1,29,2,91955.61,1,1,0,37065.66
8703,661,0,0,31,3,136067.82,2,1,0,65567.91
7656,492,1,1,51,8,117808.74,2,1,1,67311.12
1614,641,0,1,77,9,0.0,3,1,1,81514.06
8828,824,2,0,38,3,0.0,2,1,0,192800.25
7593,418,0,1,28,7,98738.92,1,1,0,122190.22
1417,607,1,0,24,2,109483.54,2,0,1,127560.77
7193,621,1,0,34,2,91258.52,2,1,0,44857.4
1794,823,0,1,38,1,0.0,2,1,0,156603.7
2188,708,2,0,32,8,187487.63,1,1,1,120115.5
4165,775,0,1,60,7,0.0,2,1,1,111558.7
7619,547,0,0,32,2,0.0,2,1,0,132002.83
2822,569,2,0,34,3,0.0,1,1,0,133997.53
2180,649,0,0,42,7,0.0,2,0,1,22974.01
5048,707,0,1,42,2,16893.59,1,1,1,77502.56
5355,597,0,0,29,1,132144.35,1,1,0,158086.33
4401,845,2,0,38,2,112803.92,1,1,0,179631.85
8503,559,0,0,48,2,0.0,2,0,1,137961.41
3649,597,0,1,41,4,153198.23,1,1,1,92090.36
1628,662,2,0,30,9,0.0,2,0,1,157884.83
1361,578,0,1,32,4,0.0,2,1,1,141822.8
2359,663,1,1,32,3,108586.86,1,1,1,182355.21
1826,569,1,1,25,9,173459.45,2,1,1,44381.06
3783,647,2,0,26,8,109958.15,1,1,1,136592.24
2708,630,2,0,21,1,85818.18,1,1,1,133102.3
1962,358,2,0,52,8,143542.36,3,1,0,141959.11
7643,722,2,0,32,4,0.0,2,1,1,113666.48
7951,850,0,0,40,0,0.0,2,1,0,1099.95
7148,770,2,1,30,8,0.0,2,0,1,50839.85
3140,653,2,1,30,4,0.0,2,1,0,120736.04
643,660,1,0,39,5,135134.99,1,1,0,173683.0
2484,850,0,1,39,6,96863.13,1,1,1,121681.19
6812,576,1,1,63,3,148843.56,1,1,0,69414.13
3507,761,0,1,36,9,127637.92,1,1,1,81062.93
2743,689,0,1,22,4,136444.25,1,1,0,51980.25
6937,589,0,0,50,4,0.0,2,0,1,182076.97
2611,566,0,1,42,3,108010.78,1,1,1,157486.1
1957,710,0,1,54,6,171137.62,1,1,1,167023.95
9963,740,1,1,33,2,126524.11,1,1,0,136869.31
8660,535,0,0,27,6,0.0,2,0,1,49775.58
1529,578,2,1,23,8,0.0,2,1,0,112124.98
5179,760,1,1,34,6,121303.77,2,1,1,59325.21
8498,712,1,1,37,7,93978.96,2,1,0,60651.77
8320,564,1,1,33,3,109341.87,1,1,0,75632.78
8636,601,0,1,46,2,99786.07,1,1,1,32683.88
3024,648,1,1,41,5,123049.21,1,0,1,5066.76
5964,599,2,1,35,6,137102.65,1,0,0,76870.81
8191,644,0,0,40,10,139180.97,1,1,1,19959.67
7597,736,0,1,29,4,0.0,2,0,0,51705.01
2824,628,0,1,32,9,149136.31,2,1,1,16402.11
7874,641,1,1,32,5,122947.92,1,1,1,99154.86
5342,807,1,1,47,1,171937.27,1,1,1,65636.92
4968,604,2,1,41,3,0.0,1,0,0,11819.84
669,640,0,0,42,5,176099.13,1,1,1,8404.73
5532,720,0,1,33,9,0.0,2,1,1,142956.48
9135,727,2,0,49,7,96296.78,1,1,0,190457.87
5780,604,1,0,42,10,166031.45,1,1,0,98293.14
659,751,0,0,30,6,0.0,2,1,0,15766.1
9919,688,0,1,26,0,0.0,2,1,0,105784.85
2710,634,1,1,37,1,89696.84,2,1,1,193179.88
4693,543,0,0,32,7,147256.86,1,1,0,112771.95
2886,449,0,0,37,6,0.0,2,1,0,82176.48
2158,731,0,0,40,7,118991.79,1,1,1,156048.64
4024,655,0,0,20,7,134397.61,1,0,0,28029.54
5748,645,0,0,45,8,85325.93,1,0,0,22558.74
8418,683,1,0,39,2,100062.16,2,1,0,109201.43
8796,720,0,1,33,2,0.0,2,0,1,141031.08
9079,516,2,0,27,1,0.0,1,0,1,112311.15
7986,667,2,1,45,3,0.0,2,0,0,163655.01
3879,778,0,0,33,9,151772.63,2,0,0,180249.94
2069,629,1,1,28,8,108601.0,1,1,1,119647.7
166,704,1,0,24,7,113034.22,1,1,0,162503.48
5393,835,0,1,32,8,124993.29,2,1,1,27548.06
8343,849,1,0,49,9,132934.89,1,1,0,171056.65
2402,531,0,1,31,3,96288.26,1,1,0,56794.73
677,739,1,1,45,7,102703.62,1,0,1,147802.94
3236,673,2,0,32,0,0.0,1,1,1,72873.33
176,510,0,0,30,0,0.0,2,1,1,130553.47
5676,749,0,0,26,6,0.0,2,0,1,34948.77
6235,674,2,1,36,2,0.0,2,1,1,182787.17
7465,666,1,1,30,3,110153.27,1,0,1,74849.46
7711,612,1,1,46,9,161450.03,1,1,1,96961.0
6889,473,0,0,25,6,110666.42,2,0,0,46758.42
2924,499,1,0,29,6,148051.52,1,1,0,118623.94
6695,646,0,0,33,2,0.0,2,0,0,198208.0
8085,794,0,1,33,0,0.0,2,0,0,178122.71
7085,725,0,1,38,6,0.0,2,1,1,158697.28
8666,687,1,1,35,1,125141.24,2,1,1,148537.07
3886,710,1,1,34,8,147833.3,2,0,1,1561.58
5938,850,2,1,38,7,115378.94,1,0,1,162087.82
7027,464,1,1,37,4,155994.15,1,0,0,143665.44
3766,584,2,1,36,4,82696.09,2,0,0,83058.14
3955,625,0,1,39,2,0.0,2,1,0,100403.05
691,767,0,1,43,1,76408.85,2,1,0,77837.63
1847,590,2,0,37,0,64345.21,1,0,1,61759.33
8551,507,2,1,32,7,0.0,2,1,0,67926.18
2637,647,0,0,29,0,98263.46,2,1,0,164717.95
9273,616,0,1,31,1,0.0,2,1,1,54706.75
5044,562,0,1,30,3,111099.79,2,0,0,140650.19
3099,696,2,1,60,8,88786.81,1,1,1,196858.4
6197,581,1,0,54,2,152508.99,1,1,0,187597.98
6824,640,0,1,38,9,0.0,2,1,0,88827.67
9489,791,0,0,33,3,0.0,1,1,1,144413.92
9468,613,1,0,45,9,142765.24,2,1,0,34749.65
5038,612,0,0,63,2,126473.33,1,0,1,147545.65
9612,776,0,1,36,1,0.0,2,1,0,53477.76
7886,666,0,0,36,8,0.0,1,0,1,158666.99
8362,567,0,1,36,7,0.0,2,0,1,3896.08
4495,789,0,0,32,7,69423.52,1,1,0,107499.39
8251,629,1,0,37,1,35549.81,2,0,0,49676.33
3234,527,0,1,47,1,0.0,1,1,0,21312.16
8437,781,0,1,29,9,0.0,2,0,0,172097.4
4012,554,2,1,46,4,0.0,2,0,1,57320.92
5492,712,0,1,35,7,124616.23,1,1,1,69320.97
4664,697,0,0,23,10,0.0,2,1,1,79734.23
5459,530,2,0,36,7,0.0,2,1,0,80619.09
5475,612,1,1,42,5,141927.1,1,1,1,43018.98
181,510,0,1,65,2,0.0,2,1,1,48071.61
2104,768,0,1,42,5,0.0,3,0,0,60686.4
7502,721,2,0,32,10,0.0,1,1,0,136119.96
1715,685,1,1,43,9,108589.47,2,0,1,194808.51
9628,662,0,0,22,9,0.0,2,1,1,44377.65
9453,667,0,1,27,7,156811.74,1,1,1,149402.59
3119,680,1,0,51,5,143139.87,1,0,0,47795.43
5021,638,0,0,29,9,103417.74,1,1,1,15336.4
5902,694,0,1,40,9,0.0,2,1,0,40463.03
7078,763,0,1,67,1,149436.73,2,0,1,106282.74
9501,835,1,1,18,2,142872.36,1,1,1,117632.63
3163,649,1,0,37,8,114737.26,1,1,1,106655.88
7282,581,2,0,44,7,189318.16,2,1,0,45026.23
6399,601,1,1,48,9,163630.76,1,0,1,41816.49
8291,668,2,1,38,1,147904.31,1,1,1,69370.05
838,553,2,0,48,3,0.0,1,0,1,30730.95
2215,493,0,1,36,9,0.0,2,1,1,65816.53
6731,503,0,1,32,4,0.0,2,1,1,153036.97
2262,572,0,1,43,2,140431.98,1,1,0,26450.57
9856,763,1,0,32,1,108465.65,2,1,0,60552.44
3849,646,2,1,32,1,0.0,2,1,0,183289.22
9090,809,0,0,39,5,0.0,1,1,0,77705.75
4904,741,0,0,44,7,0.0,2,1,1,190534.76
4869,669,0,1,50,4,149713.61,3,1,1,124872.42
5746,836,2,0,41,7,150302.84,1,1,1,156036.19
4482,653,0,0,42,1,0.0,2,1,1,5768.32
2955,577,0,0,46,1,0.0,1,1,1,158750.53
2776,689,0,1,39,7,0.0,2,0,0,14917.09
6487,580,0,1,31,2,0.0,2,0,1,64014.24
7876,623,0,1,45,0,0.0,1,1,0,196533.72
4743,511,2,0,57,8,122950.31,1,1,1,181258.76
3899,752,0,0,36,2,119912.46,1,1,0,124354.92
9670,756,0,0,32,4,0.0,2,1,0,147040.25
1646,570,1,0,50,5,129293.74,1,1,0,177805.44
8742,693,2,0,45,4,0.0,2,1,1,26589.56
5941,612,0,0,33,0,64900.32,2,1,0,102426.12
7573,481,2,0,37,8,0.0,2,1,0,44215.86
2169,773,1,1,43,8,81844.91,2,1,1,35908.46
150,754,2,0,32,7,0.0,2,1,0,89520.75
7963,630,0,1,37,6,0.0,2,1,1,82647.65
1493,680,2,0,30,3,0.0,1,1,0,160131.58
2379,624,0,1,26,9,74681.9,2,0,0,31231.35
218,807,0,1,43,1,105799.32,2,1,0,34888.04
8920,570,0,0,36,3,0.0,2,1,0,92118.75
7581,708,1,1,42,9,176702.36,2,1,1,104804.74
3313,684,0,1,54,6,0.0,2,1,1,94888.6
9956,520,0,0,46,10,85216.61,1,1,0,117369.52
2618,498,0,0,30,1,0.0,2,0,0,135795.53
5956,798,1,0,38,4,129055.13,1,1,0,157147.59
2315,662,0,0,37,6,0.0,2,1,0,51229.17
9339,665,2,1,29,1,182781.74,2,1,1,63732.9
2996,729,2,0,45,7,91091.06,2,1,0,71133.12
7017,646,2,1,25,5,182876.88,2,1,1,42537.59
1441,627,2,1,44,6,0.0,1,1,1,114469.55
5290,795,1,0,56,9,94348.94,1,1,0,29239.29
620,593,0,1,35,9,114193.24,1,1,0,71154.1
6419,729,0,1,44,6,0.0,2,1,0,151733.43
830,684,0,0,34,6,0.0,2,1,1,130928.22
969,649,1,1,70,9,116854.71,2,0,1,107125.79
1050,682,0,1,30,4,0.0,1,0,1,161465.31
9050,667,1,1,33,9,124573.33,2,0,0,683.37
1986,845,1,0,41,2,81733.74,2,0,0,199761.29
4433,674,0,1,26,6,166257.96,1,1,1,149369.41
6725,603,1,0,40,8,148897.02,1,0,0,105052.9
7878,731,0,0,38,10,123711.73,2,1,0,171340.68
1803,577,0,0,26,1,180530.51,1,0,0,123454.62
6928,781,0,0,48,0,57098.96,1,1,0,85644.06
5521,815,0,1,37,1,166115.42,1,1,0,67208.3
547,479,1,0,30,7,143964.36,2,1,0,41879.99
1426,591,0,0,39,4,150500.64,1,1,0,14928.8
5940,849,0,0,41,6,0.0,2,1,1,169203.51
7872,639,1,0,46,10,110031.09,2,1,1,133995.59
2348,824,0,1,45,3,129209.48,1,0,0,60151.77
718,474,0,1,45,10,0.0,2,0,0,172175.9
7534,808,0,1,32,1,0.0,2,1,1,46200.71
3821,608,2,0,56,5,0.0,2,0,1,153810.41
716,554,1,0,37,4,58629.97,1,0,0,182038.6
236,712,0,0,29,2,0.0,1,1,1,144375.0
8561,788,2,1,36,10,109632.85,1,1,1,16149.13
9286,720,1,0,29,7,106230.92,1,1,1,69903.93
5467,573,2,1,33,1,160777.9,1,1,1,149536.15
2423,662,0,0,29,10,0.0,2,1,0,137508.31
2648,745,0,1,21,4,137910.45,1,1,1,177235.23
2677,518,0,0,38,10,84764.79,1,1,1,162253.9
9144,818,1,1,43,10,105301.5,1,1,1,78941.59
5174,791,0,1,34,7,0.0,2,1,0,96734.46
8596,709,0,0,32,2,0.0,2,0,0,109681.29
5490,655,2,0,78,2,0.0,2,0,1,188435.38
3409,598,1,0,46,7,131769.04,1,0,0,184980.23
6414,618,0,0,21,2,125682.79,1,0,0,57762.0
3103,655,0,0,47,10,0.0,2,1,0,167778.62
8105,659,2,1,60,2,0.0,1,1,0,177480.45
272,811,1,0,34,1,149297.19,2,1,1,186339.74
8724,668,2,0,30,8,0.0,2,1,0,138465.7
8094,614,2,1,66,2,0.0,2,0,1,180082.7
4355,657,0,0,39,4,80293.81,1,1,0,97192.76
9192,801,2,1,58,1,79954.61,2,1,1,30484.19
7028,718,1,1,26,7,147527.03,1,0,0,51099.56
4759,557,2,1,34,3,0.0,1,0,1,123427.98
7405,556,0,1,34,8,163757.06,1,1,1,104000.06
3121,634,1,1,27,3,107027.52,1,1,0,173425.68
8725,633,2,1,27,3,0.0,2,1,0,44008.91
977,520,0,0,38,4,0.0,2,1,0,56388.63
3669,653,0,1,29,2,0.0,2,1,1,41671.81
9416,648,1,1,37,6,131753.41,1,1,0,86894.67
766,700,0,0,82,2,0.0,2,0,1,182055.36
8339,695,0,0,42,0,0.0,2,0,1,140724.64
6378,562,0,1,37,2,0.0,1,0,1,52525.15
8052,623,0,0,34,9,0.0,1,1,0,24255.21
9994,800,0,0,29,2,0.0,2,0,0,167773.55
6522,663,0,0,42,1,82228.67,2,1,0,71359.78
6493,661,0,1,35,9,100107.99,1,1,0,83949.68
3396,581,0,1,71,4,0.0,2,1,1,197562.08
4245,732,0,0,34,8,122338.43,2,1,0,187985.85
1060,490,2,0,48,8,155413.06,1,1,0,187921.3
9168,681,0,0,43,8,154100.3,1,0,0,114659.81
7409,807,1,0,42,9,105356.09,2,1,1,130489.37
1358,664,0,1,43,9,189026.53,2,1,1,56099.86
1724,627,1,1,29,5,139541.58,2,1,0,80607.33
8098,770,0,0,68,2,183555.24,1,0,0,159557.28
2073,626,2,0,48,2,0.0,2,1,1,95794.98
6627,558,0,0,41,6,0.0,1,1,1,143585.29
3640,638,1,0,39,0,122501.28,2,1,1,95007.8
5707,746,0,1,25,9,0.0,2,0,1,88728.47
7810,756,1,0,34,2,148200.72,1,0,0,194584.48
1424,603,2,0,42,8,91611.12,1,0,0,144675.3
2864,708,1,1,37,8,153366.13,1,1,1,26912.34
6439,632,2,1,37,1,138207.08,1,1,0,60778.11
3282,584,0,0,39,2,112687.69,1,1,1,127749.61
358,737,0,1,41,1,101960.74,1,1,1,123547.28
5162,608,0,1,31,7,79962.92,2,1,0,60901.72
7019,637,0,1,36,2,152606.82,1,1,1,71692.8
2551,537,0,0,53,3,0.0,1,1,1,91406.62
2621,551,0,0,36,5,0.0,1,1,0,183479.12
285,675,0,1,40,7,113208.86,2,1,0,34577.36
6384,529,0,0,31,7,0.0,2,1,1,175697.87
8459,595,2,1,23,7,0.0,2,1,1,168085.97
6418,754,2,0,27,8,0.0,2,0,0,121821.16
6138,477,0,1,47,9,144900.58,1,1,0,61315.37
8117,624,2,0,34,6,0.0,1,1,0,582.59
5351,558,1,1,41,2,124227.14,1,1,1,111184.67
4460,661,0,1,35,5,0.0,1,1,0,155394.52
1869,652,1,1,33,7,128135.99,1,1,0,158437.73
2203,613,2,1,30,9,111927.45,1,1,1,175795.87
6579,496,0,0,36,7,0.0,2,0,0,108098.28
7604,691,0,0,60,6,101070.69,1,1,0,177355.8
1168,607,0,0,27,2,0.0,2,1,0,63495.86
9661,675,0,0,39,6,0.0,2,0,0,83419.15
7100,650,2,1,24,8,108881.73,1,1,0,104492.83
9159,609,0,1,32,7,118520.41,1,0,0,3815.48
5187,683,0,0,30,2,0.0,2,0,1,100496.84
5670,497,0,1,32,8,0.0,2,1,0,67364.42
4062,559,0,1,45,8,24043.45,1,0,1,169781.45
9137,535,0,0,38,0,135919.33,1,1,0,80425.65
2699,633,1,0,29,8,104944.1,1,1,1,97684.46
1875,572,2,1,31,5,98108.79,1,0,1,119996.95
3100,810,1,1,35,3,96814.46,2,1,1,120511.03
7942,542,0,0,42,1,0.0,1,1,1,178256.58
9218,676,1,0,48,2,124442.38,1,1,0,15068.53
8829,683,0,0,40,1,0.0,2,0,0,75762.0
2988,689,0,1,47,1,93871.95,3,1,0,156878.42
2675,745,1,1,38,5,65095.41,2,1,1,140197.42
5037,606,2,1,38,7,128578.52,1,1,1,193878.51
6484,719,2,1,44,2,0.0,2,1,0,196582.19
4334,705,2,0,57,3,0.0,2,1,1,34134.14
4876,657,2,0,27,8,0.0,2,0,0,6468.24
8289,682,0,1,40,4,0.0,1,0,1,105352.55
616,754,2,1,39,6,170184.99,2,1,0,89593.26
2045,668,0,0,31,9,0.0,2,0,0,41291.73
229,594,1,0,29,3,130830.22,1,1,0,61048.53
4108,709,1,0,39,9,124723.92,1,1,0,73641.86
9475,616,0,1,46,2,0.0,2,1,0,137136.46
5973,672,0,1,37,5,153195.59,1,1,1,162763.01
4115,580,0,0,23,5,113923.81,2,0,0,196241.43
552,685,2,0,25,10,128509.63,1,1,0,121562.33
9516,557,0,0,32,3,123502.53,1,1,1,69826.8
2992,810,0,0,51,5,0.0,2,0,1,184524.74
1779,703,0,1,36,2,0.0,2,1,0,108790.95
1266,548,0,0,36,3,0.0,1,1,0,65996.9
7769,766,0,0,27,7,158786.67,2,0,1,47579.25
1530,611,0,0,26,2,107508.93,2,1,1,120801.65
996,811,2,1,44,3,0.0,2,0,1,78439.73
506,691,1,1,30,7,116927.89,1,1,0,21198.39
9308,742,0,1,27,0,0.0,2,0,1,131534.96
6907,519,0,1,34,5,0.0,1,1,0,68479.6
9694,581,0,1,25,5,77886.53,2,1,0,150319.49
9141,850,1,0,43,8,92244.83,2,1,0,54949.73
4924,792,1,1,36,5,115725.24,2,0,0,1871.25
8050,707,0,1,33,2,0.0,2,0,0,130866.95
9301,623,2,0,43,4,123536.52,2,0,0,154908.52
5657,496,0,1,30,0,90963.49,1,0,1,27802.0
7668,526,1,1,61,6,133845.28,2,1,1,45180.8
3201,722,0,1,20,6,0.0,2,1,0,195486.28
10,528,0,1,31,6,102016.72,2,0,0,80181.12
31,533,0,1,36,7,85311.7,1,0,1,156731.91
1567,713,0,1,53,6,115029.4,1,0,0,191521.32
92,524,0,0,36,10,0.0,2,1,0,109614.57
2065,626,0,1,33,8,0.0,2,1,0,138504.28
5267,584,0,1,26,4,0.0,2,1,0,147600.54
5617,626,0,1,43,4,137638.69,1,1,0,130442.08
4990,659,2,0,33,8,115409.6,1,0,1,1539.21
5608,518,0,0,27,1,133801.49,1,1,1,143315.57
2664,586,0,1,29,3,0.0,2,1,1,142238.54
9705,733,2,1,36,1,0.0,2,0,1,108377.82
2168,705,1,0,56,2,143249.67,1,1,0,88428.41
6267,705,1,1,48,9,114169.16,1,0,0,173273.2
1754,724,1,1,33,5,103564.83,2,1,0,121085.72
7910,561,2,1,28,6,123692.0,1,1,1,70548.96
7991,427,2,0,39,9,0.0,2,1,0,28368.37
1996,534,0,1,62,2,0.0,2,0,0,42763.12
7821,777,0,0,28,2,134571.5,1,0,1,118313.38
6229,777,0,1,36,7,0.0,1,1,0,106472.34
8750,655,0,0,32,2,0.0,1,1,1,71047.51
7073,679,0,1,40,1,0.0,1,1,1,16897.19
5152,585,2,1,36,10,0.0,2,1,1,180318.6
2643,632,0,1,27,4,193125.85,1,1,1,152665.85
8042,606,0,1,37,6,82373.94,1,0,0,172526.9
2274,580,0,0,65,9,106804.26,3,1,0,107890.69
5587,730,0,0,37,1,0.0,2,1,1,124364.63
4709,554,0,1,31,1,0.0,2,0,1,192660.55
4048,602,0,0,63,7,0.0,2,1,1,56323.21
958,531,2,1,27,8,132576.25,1,0,0,7222.92
8080,757,0,1,47,3,130747.1,1,1,0,143829.54
7074,682,1,1,36,5,72373.62,2,1,0,36895.99
3860,720,0,0,34,6,110717.38,1,1,1,9398.45
4455,684,2,0,31,8,0.0,2,1,0,188637.05
5293,604,2,0,41,10,0.0,2,1,1,166224.39
4057,510,0,0,26,6,136214.08,1,0,0,159742.33
1615,685,1,0,21,6,97956.5,1,1,1,164966.27
4181,656,2,1,26,4,139584.57,1,1,0,36308.93
554,574,1,1,33,3,129834.67,1,1,0,193131.42
8512,612,2,1,39,5,170288.38,1,1,1,59601.15
7952,746,1,0,33,2,107868.14,2,1,1,146192.4
9466,559,0,1,52,2,0.0,1,1,0,129013.59
2799,760,0,1,43,8,121911.59,1,1,0,193312.33
7854,746,2,1,49,7,0.0,2,0,1,10096.25
9274,560,2,0,33,9,0.0,1,0,1,183358.21
4,850,2,0,43,2,125510.82,1,1,1,79084.1
5377,642,0,1,72,1,160541.0,2,1,1,142223.94
8613,684,1,0,26,2,114035.39,1,0,0,96885.19
3883,519,0,1,39,1,97700.02,1,1,1,30709.03
6589,498,1,1,45,7,109200.74,2,0,1,165990.44
7332,788,1,0,42,6,138650.49,2,1,0,64746.07
2276,542,0,0,59,2,68892.77,2,1,0,7905.06
45,776,1,0,32,4,109421.13,2,1,1,126517.46
9880,584,1,1,42,3,137479.13,1,1,0,25669.1
8146,717,0,1,48,7,123764.95,1,1,1,169952.82
7868,611,1,0,29,4,78885.88,2,1,1,26927.69
1382,661,2,0,42,3,0.0,2,1,0,35989.41
8417,630,0,0,26,5,0.0,2,1,0,182612.38
1013,635,2,1,24,4,0.0,2,1,1,70668.77
2115,404,1,0,54,4,125456.07,1,1,0,83715.66
531,702,2,0,26,4,135219.57,1,0,1,59747.63
901,643,0,1,36,7,161064.64,2,0,1,84294.82
7170,678,0,1,36,0,107379.68,1,1,1,84460.18
9594,785,0,1,55,5,0.0,2,1,1,7008.65
2273,726,2,0,27,7,123826.07,1,0,1,78970.58
6049,592,2,1,41,0,0.0,2,1,0,65906.07
6773,625,0,1,43,4,122351.29,1,1,0,71216.6
5198,604,0,1,40,1,84315.02,1,0,0,36209.1
3070,674,2,1,32,2,0.0,2,1,0,140579.17
2386,541,0,1,46,4,124547.13,2,1,0,94499.06
37,804,2,1,33,7,76548.6,1,0,1,98453.45
3260,688,2,0,33,2,0.0,1,0,0,27557.18
602,687,0,0,72,9,0.0,1,0,1,69829.4
3364,673,0,1,47,1,0.0,2,0,0,108762.16
2277,732,0,0,43,6,0.0,2,1,0,65731.53
9370,561,0,1,43,4,0.0,4,0,0,18522.91
2265,623,0,0,35,5,0.0,2,1,0,101192.08
27,571,0,1,44,9,0.0,2,0,0,38433.35
6347,637,1,1,35,8,147127.81,2,1,1,84760.7
5706,682,2,0,48,9,101198.01,1,1,1,49732.9
1274,562,2,1,32,6,161628.66,1,1,0,91482.5
1619,656,0,1,18,10,151762.74,1,0,1,127014.32
3909,431,0,1,63,6,160982.89,1,1,1,168008.17
8392,739,1,1,32,3,102128.27,1,1,0,63981.37
2358,669,0,1,43,1,163159.85,1,0,1,15602.8
2275,550,0,0,48,6,0.0,2,1,1,191870.28
3937,761,0,0,26,1,0.0,2,1,1,199409.19
4009,446,0,0,39,1,90217.07,1,1,0,191350.48
490,591,2,1,29,1,97541.24,1,1,1,196356.17
4400,766,1,0,34,6,106434.94,1,0,1,137995.66
5256,713,2,0,48,1,163760.82,1,0,0,157381.14
9120,703,2,1,58,4,92930.92,1,0,1,85148.78
1073,503,2,1,37,6,0.0,2,0,0,136506.86
8868,649,2,0,38,8,0.0,1,1,0,103760.53
4251,601,0,1,35,2,0.0,2,1,1,118983.18
3668,666,1,0,44,2,122314.5,1,0,0,68574.88
7973,592,1,1,31,7,124593.23,1,1,0,86079.67
3014,628,2,1,43,3,184926.61,1,1,0,122937.57
183,636,0,1,42,2,0.0,2,1,1,55470.78
8641,604,1,0,47,4,118907.6,1,0,1,47777.15
2218,733,2,0,31,9,102289.85,1,1,1,115441.66
8215,687,0,0,61,7,80538.56,1,1,0,131305.37
2920,696,0,0,33,4,0.0,2,1,1,73371.65
9654,834,2,1,34,5,0.0,2,0,0,53437.1
7718,740,0,0,60,5,108028.08,2,0,0,25980.42
9476,650,1,0,48,7,138232.24,1,1,0,57594.78
5536,636,2,1,45,3,0.0,2,1,1,159463.8
8989,640,1,0,31,10,118613.34,1,1,0,168469.65
3733,689,1,1,67,9,157094.78,1,1,1,99490.01
4716,646,0,1,18,10,0.0,2,0,1,52795.15
2139,643,0,0,51,2,105229.53,1,1,0,34967.75
3611,746,0,0,21,8,166883.07,2,0,1,194563.65
7347,553,2,1,42,7,0.0,2,1,0,7680.23
675,563,0,0,39,5,0.0,2,1,1,17603.81
3767,769,0,1,29,4,145471.37,1,1,0,188382.77
9975,610,1,1,50,1,113957.01,2,1,0,196526.55
